car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
457848077,https://auto.drom.ru/ulan-ude/toyota/camry/457848077.html,Toyota Camry,2017,2650000,3.0,181,АКПП,53000
458279729,https://auto.drom.ru/krasnoyarsk/toyota/camry/458279729.html,Toyota Camry,2015,2520000,3.0,181,АКПП,173859
458292188,https://auto.drom.ru/krasnodar/toyota/camry/458292188.html,Toyota Camry,2017,2549000,3.0,181,АКПП,154945
458896196,https://auto.drom.ru/belovo/toyota/camry/458896196.html,Toyota Camry,2018,2800000,2.0,150,АКПП,168000
459230358,https://auto.drom.ru/kamensk-uralskiy/toyota/camry/459230358.html,Toyota Camry,2014,2170000,3.0,181,АКПП,185000
464093870,https://auto.drom.ru/kemerovo/toyota/camry/464093870.html,Toyota Camry,2013,2095999,3.0,181,АКПП,219304
464128486,https://auto.drom.ru/novosibirsk/toyota/camry/464128486.html,Toyota Camry,2012,2119000,3.0,181,АКПП,149000
464271282,https://auto.drom.ru/lyantor/toyota/camry/464271282.html,Toyota Camry,2019,2650000,2.0,150,АКПП,131000
464763202,https://auto.drom.ru/chita/toyota/camry/464763202.html,Toyota Camry,2016,2700000,3.0,181,АКПП,55000
466035104,https://auto.drom.ru/magnitogorsk/toyota/camry/466035104.html,Toyota Camry,2014,2074800,3.0,181,АКПП,171943
466626425,https://auto.drom.ru/moscow/toyota/camry/466626425.html,Toyota Camry,2011,1239000,2.0,167,АКПП,236664
466644059,https://auto.drom.ru/perm/toyota/camry/466644059.html,Toyota Camry,2019,2990000,3.0,181,АКПП,126000
467356129,https://auto.drom.ru/samara/toyota/camry/467356129.html,Toyota Camry,2019,3149900,3.0,181,АКПП,60253
467780279,https://auto.drom.ru/mirniy/toyota/camry/467780279.html,Toyota Camry,2014,2080000,3.0,178,АКПП,108000
468996022,https://auto.drom.ru/irkutsk/toyota/camry/468996022.html,Toyota Camry,2017,2850000,3.0,178,вариатор,100000
471014831,https://auto.drom.ru/tyumen/toyota/camry/471014831.html,Toyota Camry,2013,1925000,2.0,148,АКПП,120000
471317950,https://auto.drom.ru/tyumen/toyota/camry/471317950.html,Toyota Camry,2018,2999000,3.0,181,АКПП,135441
471694017,https://auto.drom.ru/ekaterinburg/toyota/camry/471694017.html,Toyota Camry,2018,2890000,3.0,181,АКПП,119900
472795778,https://auto.drom.ru/ust-labinsk/toyota/camry/472795778.html,Toyota Camry,2017,2700000,4.0,249,АКПП,166000
473047855,https://auto.drom.ru/tyumen/toyota/camry/473047855.html,Toyota Camry,2012,2089000,3.0,181,АКПП,130371
474226299,https://auto.drom.ru/abakan/toyota/camry/474226299.html,Toyota Camry,2019,3349999,3.0,176,вариатор,86000
474563832,https://auto.drom.ru/tver/toyota/camry/474563832.html,Toyota Camry,2013,1995000,3.0,181,АКПП,210783
475637868,https://auto.drom.ru/habarovsk/toyota/camry/475637868.html,Toyota Camry,2019,3330000,3.0,181,АКПП,88500
475706508,https://auto.drom.ru/miass/toyota/camry/475706508.html,Toyota Camry,2016,2600000,3.0,181,АКПП,183224
477298855,https://auto.drom.ru/zabaikalsk/toyota/camry/477298855.html,Toyota Camry,2010,1350000,4.0,277,АКПП,254000
477894465,https://auto.drom.ru/spb/toyota/camry/477894465.html,Toyota Camry,2014,1819000,3.0,181,АКПП,252639
479907237,https://auto.drom.ru/yakutsk/toyota/camry/479907237.html,Toyota Camry,2015,2445000,3.0,181,АКПП,93100
482269133,https://auto.drom.ru/astana/toyota/camry/482269133.html,Toyota Camry,2014,1500000,3.0,181,АКПП,175000
483018406,https://auto.drom.ru/chelyabinsk/toyota/camry/483018406.html,Toyota Camry,2018,3200000,3.0,181,АКПП,130000
483026322,https://auto.drom.ru/domodedovo/toyota/camry/483026322.html,Toyota Camry,2012,1680000,3.0,181,АКПП,165200
483211349,https://auto.drom.ru/novokuznetsk/toyota/camry/483211349.html,Toyota Camry,2012,2169995,3.0,181,АКПП,157381
488673075,https://auto.drom.ru/irkutsk/toyota/camry/488673075.html,Toyota Camry,2017,2550000,3.0,181,АКПП,139000
490589370,https://auto.drom.ru/kemerovo/toyota/camry/490589370.html,Toyota Camry,2017,2300000,2.0,150,АКПП,199000
491177378,https://auto.drom.ru/karpinsk/toyota/camry/491177378.html,Toyota Camry,2015,2500000,3.0,181,АКПП,144000
491271287,https://auto.drom.ru/novosibirsk/toyota/camry/491271287.html,Toyota Camry,2019,2850000,3.0,181,АКПП,165000
493239310,https://auto.drom.ru/spb/toyota/camry/493239310.html,Toyota Camry,2011,1695000,2.0,167,АКПП,147000
494325772,https://auto.drom.ru/kyzyl/toyota/camry/494325772.html,Toyota Camry,2013,1680000,3.0,181,АКПП,192000
494712444,https://auto.drom.ru/moscow/toyota/camry/494712444.html,Toyota Camry,2020,3137000,3.0,181,АКПП,123938
496032058,https://auto.drom.ru/abakan/toyota/camry/496032058.html,Toyota Camry,2019,3500000,3.0,181,АКПП,69000
496823165,https://auto.drom.ru/irkutsk/toyota/camry/496823165.html,Toyota Camry,2019,3050000,3.0,181,АКПП,143000
498238548,https://auto.drom.ru/novokuznetsk/toyota/camry/498238548.html,Toyota Camry,2015,2299000,3.0,181,АКПП,140000
498649722,https://auto.drom.ru/bratsk/toyota/camry/498649722.html,Toyota Camry,2015,2375000,2.0,150,АКПП,184967
498661794,https://auto.drom.ru/moscow/toyota/camry/498661794.html,Toyota Camry,2020,3650000,4.0,249,АКПП,79000
498948039,https://auto.drom.ru/novosibirsk/toyota/camry/498948039.html,Toyota Camry,2018,2600000,3.0,181,АКПП,118000
501848370,https://auto.drom.ru/vidnoe/toyota/camry/501848370.html,Toyota Camry,2015,1940000,3.0,181,АКПП,238200
502495757,https://auto.drom.ru/krasnoyarsk/toyota/camry/502495757.html,Toyota Camry,2018,3400000,4.0,249,АКПП,91718
